STE;DATE;COMPTE;Auxiliaire;n°pièce;Libellé;DEBIT;CREDIT;JOURNAL;ANALYTIQUE
DLM;06/05/2026;580010DS5;;PLANET200235;PLANET DU 04/05/2026;;753,00;CEBOOBA;
DLM;06/05/2026;401000;PLANET MERCHANT SERVICES;PLANET200235;Frais Planet du 04/05/2026;14,46;;CEBOOBA;
DLM;06/05/2026;512120;;PLANET200235;Encaissement Planet lot 200235;738,54;;CEBOOBA;
