STE;DATE;COMPTE;Auxiliaire;n°pièce;Libellé;DEBIT;CREDIT;JOURNAL;ANALYTIQUE
DLM;12/05/2026;580010DS5;;PLANET200147;PLANET DU 08/05/2026;;404,00;CEBOOBA;
DLM;12/05/2026;401000;PLANET MERCHANT SERVICES;PLANET200147;Frais Planet du 08/05/2026;7,75;;CEBOOBA;
DLM;12/05/2026;512120;;PLANET200147;Encaissement Planet lot 200147;396,25;;CEBOOBA;
