STE;DATE;COMPTE;Auxiliaire;n°pièce;OBJET;D;C;Journal;Analytique
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002155;;7,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002154;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002232;;52,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002277;;73,10;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002301;;40,80;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002369;;2156,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002381;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002392;;34,90;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002400;;81,60;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002429;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002380;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002465;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002518;;454,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002590;;31,80;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002595;;1456,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002616;;829,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002635;;2396,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002649;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002654;;1198,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002663;;37,40;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002692;;40,40;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002697;;2309,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002742;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002764;;656,00;CEBOOBA;
