STE;DATE;COMPTE;Auxiliaire;n°pièce;Libellé;DEBIT;CREDIT;JOURNAL;ANALYTIQUE
DLM;06/05/2026;580010DS5;;PLANET200148;PLANET DU 02/05/2026;;402,00;CEBOOBA;
DLM;06/05/2026;401000;PLANET MERCHANT SERVICES;PLANET200148;Frais Planet du 02/05/2026;7,72;;CEBOOBA;
DLM;06/05/2026;512120;;PLANET200148;Encaissement Planet lot 200148;394,28;;CEBOOBA;
