STE;DATE;COMPTE;Auxiliaire;n°pièce;OBJET;D;C;Journal;Analytique
DLM;08/04/2026;580011;;AMEX-20260408;JOURNEE DU 02-04-2026 CAISSE 66;;81,6;CAA;
DLM;08/04/2026;627800;;AMEX-20260408;FRAIS AMEX - JOURNEE DU 02-04-2026 CAISSE 66;0,82;;CAA;ST-CT00-XX
DLM;08/04/2026;580011;;AMEX-20260408;JOURNEE DU 02-04-2026 CAISSE 67;;37;CAA;
DLM;08/04/2026;627800;;AMEX-20260408;FRAIS AMEX - JOURNEE DU 02-04-2026 CAISSE 67;0,37;;CAA;ST-CT00-XX
DLM;08/04/2026;512121;;AMEX-20260408;JOURNEE DU 02-04-2026 CAISSE 66;117,41;;CAA;
