STE;DATE;COMPTE;Auxiliaire;n°pièce;OBJET;D;C;Journal;Analytique
DLM;07/04/2026;580010DS5;;AMEX INTERNET;AMEX INTERNET DU 01/04/2026;806,00;;CEBOOBA;
DLM;07/04/2026;580010DS5;;AMEX INTERNET;AMEX INTERNET DU 01/04/2026;;10068,30;CEBOOBA;
DLM;07/04/2026;627800;;AMEX INTERNET;FRAIS AMEX - AMEX INTERNET;100,68;;CEBOOBA;ST-CT00-XX
DLM;07/04/2026;512120;;AMEX INTERNET;AMEX INTERNET DU 01/04/2026;9161,62;;CEBOOBA;
DLM;08/04/2026;580010DS5;;AMEX INTERNET;AMEX INTERNET DU 02/04/2026;;2531,00;CEBOOBA;
DLM;08/04/2026;627800;;AMEX INTERNET;FRAIS AMEX - AMEX INTERNET;25,31;;CEBOOBA;ST-CT00-XX
DLM;08/04/2026;512120;;AMEX INTERNET;AMEX INTERNET DU 02/04/2026;2505,69;;CEBOOBA;
