STE;DATE;COMPTE;Auxiliaire;n°pièce;OBJET;D;C;Journal;Analytique
DLM;15/06/2026;580004;;;Chque-Vacances Connect 08/06/2026;;156,00;CEBOOBA;
DLM;15/06/2026;627800;;;Chque-Vacances Connect 08/06/2026;3,90;;CEBOOBA;AD-CO00-XX
DLM;15/06/2026;512120;;;Chque-Vacances Connect 08/06/2026;152,10;;CEBOOBA;
